biomodels_luid	name	format	format_version	publication_title	publication_year
BIOMD0000000001	Edelstein1996 - EPSP ACh event	SBML	L2V4	A kinetic mechanism for nicotinic acetylcholine receptors based on multiple allosteric transitions.	1996.0
BIOMD0000000002	Edelstein1996 - EPSP ACh species	SBML	L2V4	A kinetic mechanism for nicotinic acetylcholine receptors based on multiple allosteric transitions.	1996.0
BIOMD0000000003	Goldbeter1991 - Min Mit Oscil	SBML	L2V4	A minimal cascade model for the mitotic oscillator involving cyclin and cdc2 kinase.	1991.0
BIOMD0000000004	Goldbeter1991 - Min Mit Oscil, Expl Inact	SBML	L2V4	A minimal cascade model for the mitotic oscillator involving cyclin and cdc2 kinase.	1991.0
BIOMD0000000005	Tyson1991 - Cell Cycle 6 var	SBML	L2V4	Modeling the cell division cycle: cdc2 and cyclin interactions.	1991.0
BIOMD0000000006	Tyson1991 - Cell Cycle 2 var	SBML	L2V4	Modeling the cell division cycle: cdc2 and cyclin interactions.	1991.0
BIOMD0000000007	Novak1997 - Cell Cycle	SBML	L2V3	Modeling the control of DNA replication in fission yeast.	1997.0
BIOMD0000000008	Gardner1998 - Cell Cycle Goldbeter	SBML	L2V4	A theory for controlling cell cycle dynamics using a reversibly binding inhibitor.	1998.0
BIOMD0000000009	Huang1996 - Ultrasensitivity in MAPK cascade	SBML	L2V4	Ultrasensitivity in the mitogen-activated protein kinase cascade.	1996.0
BIOMD0000000010	Kholodenko2000 - Ultrasensitivity and negative feedback bring oscillations in MAPK cascade	SBML	L2V4	Negative feedback and ultrasensitivity can bring about oscillations in the mitogen-activated protein kinase cascades.	2000.0
BIOMD0000000011	Levchenko2000_MAPK_noScaffold	SBML	L2V4	Scaffold proteins may biphasically affect the levels of mitogen-activated protein kinase signaling and reduce its threshold properties.	2000.0
BIOMD0000000012	Elowitz2000 - Repressilator	SBML	L2V3	A synthetic oscillatory network of transcriptional regulators.	2000.0
BIOMD0000000013	Poolman2004_CalvinCycle	SBML	L2V1	Applications of metabolic modelling to plant metabolism.	2004.0
BIOMD0000000014	Levchenko2000_MAPK_Scaffold	SBML	L2V1	Scaffold proteins may biphasically affect the levels of mitogen-activated protein kinase signaling and reduce its threshold properties.	2000.0
BIOMD0000000015	Curto1998 - purine metabolism	SBML	L2V1	Mathematical models of purine metabolism in man.	1998.0
BIOMD0000000016	Goldbeter1995_CircClock	SBML	L2V1	A model for circadian oscillations in the Drosophila period protein (PER).	1995.0
BIOMD0000000017	Hoefnagel2002_PyruvateBranches	SBML	L2V4	Metabolic engineering of lactic acid bacteria, the combined approach: kinetic modelling, metabolic control and experimental analysis.	2002.0
BIOMD0000000018	Morrison1989 - Folate Cycle	SBML	L2V1	Folate cycle kinetics in human breast cancer cells.	1989.0
BIOMD0000000019	Schoeberl2002 - EGF MAPK	SBML	L2V4	Computational modeling of the dynamics of the MAP kinase cascade activated by surface and internalized EGF receptors.	2002.0
BIOMD0000000020	hodgkin-huxley squid-axon 1952	SBML	L2V3	A quantitative description of membrane current and its application to conduction and excitation in nerve.	1952.0
BIOMD0000000021	Leloup1999_CircClock	SBML	L2V1	Chaos and birhythmicity in a model for circadian oscillations of the PER and TIM proteins in drosophila	1999.0
BIOMD0000000022	Ueda2001_CircClock	SBML	L2V1	Robust oscillations within the interlocked feedback model of Drosophila circadian rhythm.	2001.0
BIOMD0000000023	Rohwer2001_Sucrose	SBML	L2V4	Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data.	2001.0
BIOMD0000000024	Scheper1999_CircClock	SBML	L2V1	A mathematical model for the intracellular circadian rhythm generator.	1999.0
BIOMD0000000025	Smolen2002_CircClock	SBML	L2V4	A reduced model clarifies the role of feedback loops and time delays in the Drosophila circadian oscillator.	2002.0
BIOMD0000000026	Markevich2004_MAPK_orderedElementary	SBML	L2V1	Signaling switches and bistability arising from multisite phosphorylation in protein kinase cascades.	2004.0
BIOMD0000000027	Markevich2004 - MAPK double phosphorylation,  ordered Michaelis-Menton	SBML	L2V4	Signaling switches and bistability arising from multisite phosphorylation in protein kinase cascades.	2004.0
BIOMD0000000028	Markevich2004_MAPK_phosphoRandomElementary	SBML	L2V4	Signaling switches and bistability arising from multisite phosphorylation in protein kinase cascades.	2004.0
BIOMD0000000029	Markevich2004_MAPK_phosphoRandomMM	SBML	L2V1	Signaling switches and bistability arising from multisite phosphorylation in protein kinase cascades.	2004.0
BIOMD0000000030	Markevich2004_MAPK_AllRandomElementary	SBML	L2V1	Signaling switches and bistability arising from multisite phosphorylation in protein kinase cascades.	2004.0
BIOMD0000000031	Markevich2004_MAPK_orderedMM2kinases	SBML	L2V4	Signaling switches and bistability arising from multisite phosphorylation in protein kinase cascades.	2004.0
BIOMD0000000032	Kofahl2004_PheromonePathway	SBML	L2V4	Modelling the dynamics of the yeast pheromone pathway.	2004.0
BIOMD0000000033	Brown2004 - NGF and EGF signaling	SBML	L2V1	The statistical mechanics of complex signaling networks: nerve growth factor signaling.	2004.0
BIOMD0000000034	Smolen2004_CircClock	SBML	L2V1	Simulation of Drosophila circadian oscillations, mutations, and light responses by a model with VRI, PDP-1, and CLK.	2004.0
BIOMD0000000035	Vilar2002_Oscillator	SBML	L2V3	Mechanisms of noise-resistance in genetic oscillators.	2002.0
BIOMD0000000036	Tyson1999_CircClock	SBML	L2V1	A simple model of circadian rhythms based on dimerization and proteolysis of PER and TIM.	1999.0
BIOMD0000000037	Marwan2003 - Genetics, regulatory hierarchy between genes	SBML	L2V1	Theory of time-resolved somatic complementation and its use to explore the sporulation control network in Physarum polycephalum.	2003.0
BIOMD0000000038	Rohwer2000_Phosphotransferase_System	SBML	L2V1	Understanding glucose transport by the bacterial phosphoenolpyruvate:glycose phosphotransferase system on the basis of kinetic measurements in vitro.	2000.0
BIOMD0000000039	Marhl2000_CaOscillations	SBML	L2V1	Complex calcium oscillations and the role of mitochondria and cytosolic proteins.	2000.0
BIOMD0000000040	Field1974_Oregonator	SBML	L2V1	Oscillations in chemical systems. IV. Limit cycle behavior in a model of a real chemical reaction	1974.0
BIOMD0000000041	Kongas2007 - Creatine Kinase in energy metabolic signaling in muscle	SBML	L2V1	Creatine kinase in energy metabolic signaling in muscle	2007.0
BIOMD0000000042	Nielsen1998_Glycolysis	SBML	L2V4	Sustained oscillations in glycolysis: an experimental and theoretical study of chaotic and complex periodic behavior and of quenching of simple oscillations.	1998.0
BIOMD0000000043	Borghans1997 - Calcium Oscillation - Model 1	SBML	L2V1	Complex intracellular calcium oscillations. A theoretical exploration of possible mechanisms.	1997.0
BIOMD0000000044	Borghans1997 - Calcium Oscillation - Model 2	SBML	L2V4	Complex intracellular calcium oscillations. A theoretical exploration of possible mechanisms.	1997.0
BIOMD0000000045	Borghans1997 - Calcium Oscillation - Model 3	SBML	L2V1	Complex intracellular calcium oscillations. A theoretical exploration of possible mechanisms.	1997.0
BIOMD0000000046	Olsen2003_peroxidase	SBML	L2V1	Mechanism of protection of peroxidase activity by oscillatory dynamics.	2003.0
BIOMD0000000047	Oxhamre2005_Ca_oscillation	SBML	L2V1	A minimal generic model of bacteria-induced intracellular Ca2+ oscillations in epithelial cells.	2005.0
BIOMD0000000048	Kholodenko1999 - EGFR signaling	SBML	L2V1	Quantification of short term signaling by the epidermal growth factor receptor.	1999.0
BIOMD0000000049	Sasagawa2005_MAPK	SBML	L2V1	Prediction and validation of the distinct dynamics of transient and sustained ERK activation.	2005.0
BIOMD0000000050	Martins2003_AmadoriDegradation	SBML	L2V4	Kinetic modelling of Amadori N-(1-deoxy-D-fructos-1-yl)-glycine degradation pathways. Part II--kinetic analysis.	2003.0
BIOMD0000000051	Chassagnole2002_Carbon_Metabolism	SBML	L2V1	Dynamic modeling of the central carbon metabolism of Escherichia coli.	2002.0
BIOMD0000000052	Brands2002 - Monosaccharide-casein systems	SBML	L2V1	Kinetic modeling of reactions in heated monosaccharide-casein systems.	2002.0
BIOMD0000000053	Ferreira2003_CML_generation2	SBML	L2V3	A quantitative model of the generation of N(epsilon)-(carboxymethyl)lysine in the Maillard reaction between collagen and glucose.	2003.0
BIOMD0000000054	Ataullahkhanov1996_Adenylate	SBML	L2V1	A possible role of adenylate metabolism in human erythrocytes: simple mathematical model.	1996.0
BIOMD0000000055	Locke2005 - Circadian Clock	SBML	L2V4	Extension of a genetic network model by iterative experimentation and mathematical analysis.	2005.0
BIOMD0000000056	Chen2004 - Cell Cycle Regulation	SBML	L2V1	Integrative analysis of cell cycle control in budding yeast.	2004.0
BIOMD0000000057	Sneyd2002_IP3_Receptor	SBML	L2V1	A dynamic model of the type-2 inositol trisphosphate receptor.	2002.0
BIOMD0000000058	Bindschadler2001_coupled_Ca_oscillators	SBML	L2V1	A bifurcation analysis of two coupled calcium oscillators.	2001.0
BIOMD0000000059	Fridlyand2003_Calcium_flux	SBML	L2V1	Modeling of Ca2+ flux in pancreatic beta-cells: role of the plasma membrane and intracellular stores.	2003.0
BIOMD0000000060	Keizer1996_Ryanodine_receptor_adaptation	SBML	L2V3	Ryanodine receptor adaptation and Ca2+(-)induced Ca2+ release-dependent Ca2+ oscillations.	1996.0
BIOMD0000000061	Hynne2001_Glycolysis	SBML	L2V1	Full-scale model of glycolysis in Saccharomyces cerevisiae.	2001.0
BIOMD0000000062	Bhartiya2003_Tryptophan_operon	SBML	L2V4	Dynamic model of Escherichia coli tryptophan operon shows an optimal structural design.	2003.0
BIOMD0000000063	Galazzo1990_FermentationPathwayKinetics	SBML	L2V4	Fermentation pathway kinetics and metabolic flux control in suspended and immobilized Saccharomyces cerevisiae	1990.0
BIOMD0000000064	Teusink2000_Glycolysis	SBML	L2V1	Can yeast glycolysis be understood in terms of in vitro kinetics of the constituent enzymes? Testing biochemistry.	2000.0
BIOMD0000000065	Yildirim2003_Lac_Operon	SBML	L2V4	Feedback regulation in the lactose operon: a mathematical modeling study and comparison with experimental data.	2003.0
BIOMD0000000066	Chassagnole2001_Threonine Synthesis	SBML	L2V1	Control of the threonine-synthesis pathway in Escherichia coli: a theoretical and experimental approach.	2001.0
BIOMD0000000067	Fung2005_Metabolic_Oscillator	SBML	L2V1	A synthetic gene-metabolic oscillator.	2005.0
BIOMD0000000068	Curien2003_MetThr_synthesis	SBML	L2V1	A kinetic model of the branch-point between the methionine and threonine biosynthesis pathways in Arabidopsis thaliana.	2003.0
