biomodels_id	predicate	object_curie	object_label
BIOMD0000000001	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6613849442	
BIOMD0000000001	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000001	
BIOMD0000000001	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:8983160	
BIOMD0000000001	http://biomodels.net/biology-qualifiers/isVersionOf	go:0007274	neuromuscular synaptic transmission
BIOMD0000000001	http://biomodels.net/biology-qualifiers/isVersionOf	go:0007166	cell surface receptor signaling pathway
BIOMD0000000001	http://biomodels.net/biology-qualifiers/isVersionOf	go:0019226	transmission of nerve impulse
BIOMD0000000001	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:7787	Tetronarce californica
BIOMD0000000002	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6614086398	
BIOMD0000000002	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000002	
BIOMD0000000002	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:8983160	
BIOMD0000000002	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:7787	Tetronarce californica
BIOMD0000000002	http://biomodels.net/biology-qualifiers/isVersionOf	go:0007166	cell surface receptor signaling pathway
BIOMD0000000002	http://biomodels.net/biology-qualifiers/isVersionOf	go:0007274	neuromuscular synaptic transmission
BIOMD0000000002	http://biomodels.net/biology-qualifiers/isVersionOf	go:0019226	transmission of nerve impulse
BIOMD0000000003	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6614271263	
BIOMD0000000003	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000003	
BIOMD0000000003	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:1833774	
BIOMD0000000003	http://biomodels.net/biology-qualifiers/isHomologTo	reactome:REACT_152	
BIOMD0000000003	http://biomodels.net/biology-qualifiers/isVersionOf	kegg.pathway:hsa04110	
BIOMD0000000003	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000278	mitotic cell cycle
BIOMD0000000003	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8292	Amphibia
BIOMD0000000004	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6614389071	
BIOMD0000000004	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000004	
BIOMD0000000004	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:1833774	
BIOMD0000000004	http://biomodels.net/model-qualifiers/isDerivedFrom	biomodels.db:BIOMD0000000003	
BIOMD0000000004	http://biomodels.net/biology-qualifiers/isVersionOf	kegg.pathway:hsa04110	
